Unique.ID,country,latitude,longitude,Basin.ID,start.year,end.year,num.year,dur.year,eqr.start,eqr.end,eqr.change,richness,rich.rarefied,rich.coverage,ab,fd,trait.ses,taxa.comp,trait.comp,id.level,richness_circularity,ab_circularity,taxa_circularity,trait_circularity
ENG_062_MZB_LO_590,England,51.30558104,-1.821745044,1173229,2002,2023,14,22,0.991348117,1.074945068,0.08359695,1.477457,0.598728,0.736596,3.35597,3.957406,-0.070091618,0.053489,0.01005,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_594,England,50.85930435,-1.783442669,1173229,2002,2015,7,14,0.909533704,0.834614257,-0.074919447,-1.11399,2.211846,5.349027,-4.260385,-1.491298,0.043552596,0.003845,0.019844,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_595,England,50.86433042,-1.787866952,1173229,2002,2018,11,17,1.050791531,1.008649377,-0.042142154,-1.042994,-1.458468,-3.3669,0.266609,-1.884668,-0.003110312,0.010068,0.00972,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_597,England,50.91857087,-1.786368644,1173229,2002,2017,7,16,1.078951433,1.059800836,-0.019150597,-1.472147,-1.858357,-2.957339,1.086316,-2.588944,0.075295247,0.041195,0.00668,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_598,England,51.0365053,-1.771577357,1173229,2002,2013,8,12,1.036702869,0.996428442,-0.040274427,-1.079558,-3.308227,-6.286441,11.067653,-1.948504,-0.100828965,0.101444,0.021611,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_60,England,54.18635109,-1.857046083,1174178,2002,2014,8,13,1.032370648,1.022659653,-0.009710995,0.735871,0.589006,2.929518,-0.392711,1.305024,0.026855774,0.02458,0.003778,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_606,England,51.02851313,-1.943773491,1173229,2003,2015,9,13,1.027405282,1.016797568,-0.010607714,-2.000671,-1.371152,1.09731,-5.622024,-3.381788,-0.004611517,0.045802,0.015367,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_61,England,54.08529739,-1.760400541,1174178,2002,2019,15,18,1.066313879,0.973394643,-0.092919236,0.780244,1.643734,0.678606,-5.346008,2.001133,0.008852332,0.05274,0.012099,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_611,England,51.07115012,-1.779656197,1173229,2002,2024,23,23,1.043919227,1.09688065,0.052961423,-0.084181,-0.333836,-0.348941,0.740341,-0.229928,-0.027660858,0.031603,0.001123,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_613,England,51.16797814,-2.188150694,1173229,2003,2019,14,17,0.936459384,0.951952692,0.015493308,0.722794,2.106476,3.85025,-5.901553,1.532416,-0.00666773,0.006443,0.009343,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_615,England,51.19319374,-2.175331128,1173229,2002,2014,7,13,1.041130062,1.046474781,0.00534472,-0.814374,-1.219329,-6.97713,1.813548,-2.114002,-0.04439534,0.072673,0.003635,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_617,England,51.18365817,-2.13005454,1173229,2002,2024,15,23,1.018866509,1.096856468,0.077989959,-0.637195,-2.068149,-3.524241,6.679136,-0.988412,0.033891132,0.058353,0.000362,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_618,England,51.14532564,-2.000413832,1173229,2002,2014,9,13,1.0843287,1.058954461,-0.025374239,-3.183715,-2.543381,-4.997662,-2.917366,-6.121762,-0.103746996,0.045648,0.017988,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_622,England,50.45957602,-3.71449439,1174078,2002,2017,12,16,0.869569041,1.061647895,0.192078855,1.991569,2.353819,5.244893,3.047176,3.396872,-0.097773073,0.04613,0.013734,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_625,England,50.54397321,-3.875634855,1174078,2002,2017,7,16,1.092317543,1.025867873,-0.066449671,-1.716391,1.392153,1.865873,-11.691932,-3.478156,0.000911255,0.014452,0.009406,Family,FALSE,FALSE,FALSE,FALSE
